User;SKNBI - Perubahan user;1 Day;60 Mins;1 Day;;;;
User;SMS Banking - Pendaftaran User;1 Day;60 Mins;1 Day;;;;
User;SMS Banking - Perubahan User;1 Day;60 Mins;1 Day;;;;
User;TellerApp / Reporting - Mutasi User;1 Day;60 Mins;1 Day;;;;
User;TellerApp / Reporting - Pendaftaran User Baru;1 Day;60 Mins;1 Day;;;;
User;TellerApp / Reporting - Perubahan User;1 Day;60 Mins;1 Day;;;;
User;TellerApp / Reporting - Reset Batas Koneksi;1 Day;60 Mins;1 Day;;;;
User;Xcard - Buka Blokir & Reset Password;1 Day;60 Mins;1 Day;;;;
User;Xcard - Mutasi User;1 Day;60 Mins;1 Day;;;;
User;Xcard - Pendaftaran User Baru;1 Day;60 Mins;1 Day;;;;
User;Xcard - Perubahan Menu;1 Day;60 Mins;1 Day;;;;
User;Xmonitoring ATM - Buka Blokir & Reset Password;5 Days;60 Mins;5 Days;;;;
User;Xmonitoring ATM - Mutasi User;5 Days;60 Mins;5 Days;;;;
User;Xmonitoring ATM - Pendaftaran User;5 Days;60 Mins;5 Days;;;;
User;Xmonitoring ATM - Perubahan User;5 Days;60 Mins;5 Days;;;;
User;Xreport - Pendaftaran User Baru;5 Days;60 Mins;5 Days;;;;
